latitude degree WGS84,longitude degree WGS84,altitude in meters AMSL,thermal probability in a circle with 250m radius around the hotspot
46.82114,8.4394,1653,100
45.82353,11.77053,809,100
46.92908,8.4394,1734,100
45.95936,13.72711,509,100
45.81723,6.2457,1157,100
47.46242,13.29724,1801,100
47.66747,11.79208,1468,100
48.86719,13.07026,830,100
47.03883,8.68033,1397,100
45.82982,11.78194,907,100
47.03883,9.7683,2524,100
46.41364,8.11098,2063,100
47.7592,12.56051,1591,100
41.58968,12.95487,306,100
45.41692,7.64434,859,100
46.088,7.24872,2091,100
45.79114,11.66275,799,100
46.99475,9.69983,1660,100
45.85501,6.22034,841,100
46.42713,8.11605,2234,100
47.56944,10.58238,1134,100
46.80764,8.45842,1742,100
46.81124,10.27552,2101,100
46.15546,8.4394,1627,100
47.56585,10.78146,1403,100
45.91888,8.67018,963,100
45.27839,5.8374,949,100
48.45709,13.82855,518,100
45.81543,11.76165,569,100
46.17975,13.77529,903,100
45.83072,9.29279,1008,100
47.32302,8.50154,682,100
45.92158,8.68667,1104,100
53.32306,-1.73784,211,100
47.66567,14.16331,1691,100
50.67398,16.20738,632,100
38.20877,23.25385,538,100
49.46408,8.67652,312,100
48.94362,11.35081,455,100
46.23103,12.80271,912,100
42.68502,24.74886,1342,100
45.82713,6.25204,1219,100
46.91469,11.89353,2388,100
50.57061,16.6588,508,100
48.07397,8.00954,1076,100
44.4632,10.15759,1373,100
46.84723,12.06344,2183,100
47.83115,16.05141,782,100
45.84692,6.25204,1483,100
45.8676,11.84407,1047,100
46.19774,8.79192,1532,100
45.86491,6.22795,1030,100
46.16266,8.47744,1801,100
49.48296,21.64471,522,100
50.64882,15.73694,1196,100
48.99576,11.44464,368,100
47.66657,11.52326,1419,100
49.2034,13.09689,1067,100
47.40666,9.93949,1355,100
47.4885,10.538,1551,100
46.76986,13.15776,1650,100
46.91199,11.90874,2275,100
50.69376,16.27839,778,100
48.88608,19.2291,1254,100
47.6207,18.40488,310,100
43.77571,10.43782,174,100
45.92878,8.72217,1200,100
45.81003,11.7401,742,100
47.30324,11.37744,1798,100
46.77256,13.14254,1656,100
46.16626,8.49266,1870,100
49.59891,20.99421,624,100
45.85051,18.41376,137,100
46.96057,9.74548,1587,100
47.19892,15.47446,1354,100
46.4946,11.74517,2264,100
50.59218,15.26016,667,100
46.27331,13.17551,1120,100
49.56296,5.06643,158,100
47.92378,7.87386,773,100
48.88608,-0.44191,54,100
47.92738,14.33576,882,100
40.42842,-7.45414,1150,100
45.60313,5.80443,1010,100
47.6324,12.42864,1397,100
41.34756,21.26303,1272,100
45.86041,11.81871,1232,100
38.48618,-0.67396,814,100
47.92558,7.00145,1098,100
50.46185,16.24669,478,100
46.84003,8.41531,1930,100
42.1963,13.90717,520,100
45.98545,8.52056,1156,100
42.51402,12.88133,1134,100
45.54466,6.09607,877,100
50.12656,9.91286,294,100
47.14226,11.30643,2120,100
48.91486,17.78355,856,100
46.95967,8.991,1932,100
47.06311,9.83804,2059,100
46.9021,8.42545,1775,100
42.1054,1.82407,1104,100
48.76556,8.27583,525,100
46.50629,8.25934,2344,100
46.88861,8.36712,1135,100
46.48291,6.90508,1134,100
46.22473,13.26174,613,100
48.9589,17.99024,441,100
46.20494,8.97324,1354,100
53.94911,17.9598,138,100
45.52397,7.87386,665,100
46.88681,11.52073,2303,100
51.89183,10.42768,450,100
45.85681,11.80476,1423,100
45.79654,11.69571,687,100
47.7592,12.34875,1213,100
41.63647,14.26602,1024,100
45.84152,11.79589,1099,100
46.9021,8.36586,1575,100
47.55056,10.55829,1509,100
46.86882,11.75531,2636,100
41.94159,12.80398,434,100
47.74841,12.24604,1410,100
45.83072,9.37775,794,100
45.8784,8.4394,1251,100
46.43703,8.16804,1954,100
48.55872,9.40311,569,100
45.50598,7.81046,840,100
48.97239,20.86867,1031,100
46.47571,8.20862,2360,100
46.43793,6.96975,1680,100
48.47778,8.23398,821,100
47.15305,8.52816,741,100
47.77989,7.69126,988,100
41.91909,-7.71535,1151,100
40.10878,-8.21496,681,100
49.63217,18.62806,808,100
42.97123,0.88699,1035,100
44.4299,10.82584,661,100
46.71859,12.62518,1970,100
46.65112,8.04124,1939,100
47.32212,12.7355,1835,100
46.4955,11.75785,2260,100
45.43042,7.64942,1114,100
48.5794,9.59078,666,100
49.23756,20.33737,916,100
47.50109,15.31976,1060,100
44.4488,6.37124,1160,100
49.0407,1.54256,10,100
42.325,-2.37566,1020,100
50.69466,13.87547,572,100
47.24028,7.48204,1038,100
51.99519,12.98911,100,100
47.93008,20.40838,367,100
46.44062,7.29437,1851,100
46.21753,13.6916,1156,100
38.18085,21.76264,467,100
49.23666,18.82587,739,100
46.37136,25.83303,811,100
46.02863,11.82759,1343,100
47.89231,14.1557,775,100
47.14405,10.62422,2147,100
44.02137,6.44986,1594,100
47.3509,8.49139,836,100
42.98743,0.8629,998,100
47.62251,7.93219,699,100
47.00015,9.67954,1683,100
45.28019,5.84627,871,100
47.8968,6.92157,1127,100
43.47607,2.13981,373,100
39.40018,-7.46175,635,100
45.96386,13.7195,459,100
48.62886,23.26526,1366,100
46.59625,7.61772,1641,100
45.19653,5.65226,911,100
45.77765,9.50709,1104,100
45.51138,7.79651,1313,100
48.18729,8.1262,845,100
46.27241,13.47096,1362,100
40.03405,32.32536,996,100
44.29493,5.75624,1299,100
41.84708,13.08802,792,100
42.98023,0.91362,793,100
50.40791,13.77022,382,100
44.49919,7.38693,1057,100
46.17345,8.49266,2044,100
47.01274,8.56367,1300,100
47.01455,8.58142,1140,100
49.55397,18.29583,827,100
41.60947,12.93458,447,100
45.14706,5.63705,1809,100
46.65562,8.05519,2034,100
45.95666,6.47522,1917,100
38.06376,23.38192,687,100
46.83283,8.42165,1516,100
47.40487,9.92427,1110,100
38.67083,35.54364,1563,100
50.72342,16.20992,705,100
49.53239,21.71826,585,100
47.8932,8.5624,821,100
45.78574,11.56891,836,100
47.91209,19.75788,505,100
48.45889,17.41455,497,100
50.62185,14.05299,283,100
47.30144,15.4808,1024,100
47.00375,7.64561,691,100
43.03963,13.24398,1079,100
48.92654,-0.47361,43,100
46.18245,8.48378,2148,100
43.25111,26.92734,424,100
45.85501,11.82632,903,100
46.66462,8.62961,2599,100
46.56387,18.93999,88,100
46.96147,9.76196,1956,100
46.57196,14.41438,696,100
46.00883,8.5345,1534,100
46.23103,14.01622,1418,100
40.02235,22.27492,1127,100
48.43731,8.15409,714,100
45.79744,9.49187,1295,100
44.77094,5.79555,1246,100
49.63487,7.93219,500,100
42.0964,2.29324,1040,100
45.29099,5.83486,1259,100
46.71499,7.82187,1528,100
49.51172,21.64978,625,100
46.50719,11.73249,2615,100
47.28345,9.41325,1601,100
48.07937,8.0032,926,100
48.60458,14.04411,620,100
48.48497,8.23652,851,100
47.74032,12.40201,1077,100
43.97638,6.47902,1427,100
46.19505,8.90604,1199,100
47.60901,10.80936,994,100
44.39661,9.29152,534,100
46.77796,14.91525,1037,100
42.30161,18.888,686,100
49.74184,8.82235,374,100
46.85802,11.64499,2406,100
45.44571,5.96674,849,100
44.46949,1.36757,113,100
46.33718,7.95374,2280,100
47.23039,9.73026,1278,100
44.82043,9.06835,552,100
46.23193,13.62947,745,100
47.23309,13.13747,1842,100
40.48604,23.17016,410,100
49.43352,14.62995,488,100
46.44692,8.16804,2394,100
42.2287,1.32193,820,100
47.84824,10.2958,782,100
51.36066,-1.49057,179,100
50.87981,-2.28944,135,100
46.77886,13.11084,2029,100
47.26907,7.57207,1009,100
47.58204,11.0972,1570,100
53.95539,17.92557,139,100
48.68912,9.8279,636,100
47.56135,10.76117,1031,100
51.74713,9.34985,291,100
45.03279,5.56477,1538,100
48.99036,11.44211,461,100
40.53016,-7.45287,1005,100
46.64573,7.65322,2311,100
46.6961,7.8206,1153,100
48.67833,7.31339,456,100
47.30414,8.93647,1061,100
49.96476,6.99258,264,100
45.59324,25.66438,1058,100
46.85892,11.68811,2461,100
51.86937,-2.06753,167,100
42.81283,0.38865,1608,100
47.81856,13.71823,1499,100
47.67916,11.83013,1377,100
46.23103,7.52261,2100,100
50.63084,11.41421,349,100
51.7669,14.29518,64,100
46.4955,7.5429,1951,100
47.7628,8.55352,754,100
45.79114,9.77718,1123,100
46.77076,13.05251,1878,99
42.81823,1.39801,1336,99
45.8766,11.8707,969,99
45.79564,6.17596,1224,99
46.9003,8.44447,1984,99
